shopify_variant_id,sku,product_title,variant_title,current_barcode,new_barcode
gid://shopify/ProductVariant/47894984163633,800211,"""PAINT SPLAT"" LITTLE HUMAN™ HOODIE IN ELECTRIC BLUE",1-2,800211,
gid://shopify/ProductVariant/47894984196401,800212,"""PAINT SPLAT"" LITTLE HUMAN™ HOODIE IN ELECTRIC BLUE",3-4,800212,
gid://shopify/ProductVariant/47894984229169,800213,"""PAINT SPLAT"" LITTLE HUMAN™ HOODIE IN ELECTRIC BLUE",5-6,800213,
gid://shopify/ProductVariant/47894984261937,800214,"""PAINT SPLAT"" LITTLE HUMAN™ HOODIE IN ELECTRIC BLUE",7-8,800214,
gid://shopify/ProductVariant/47894984294705,800215,"""PAINT SPLAT"" LITTLE HUMAN™ HOODIE IN ELECTRIC BLUE",9-10,800215,
gid://shopify/ProductVariant/47894845686065,800218,"""PAINT SPLAT"" LITTLE HUMAN™ HOODIE IN CAVIAR",1-2,800218,
gid://shopify/ProductVariant/47894845718833,800219,"""PAINT SPLAT"" LITTLE HUMAN™ HOODIE IN CAVIAR",3-4,800219,
gid://shopify/ProductVariant/47894845751601,800220,"""PAINT SPLAT"" LITTLE HUMAN™ HOODIE IN CAVIAR",5-6,800220,
gid://shopify/ProductVariant/47894845784369,800221,"""PAINT SPLAT"" LITTLE HUMAN™ HOODIE IN CAVIAR",7-8,800221,
gid://shopify/ProductVariant/47894845817137,800222,"""PAINT SPLAT"" LITTLE HUMAN™ HOODIE IN CAVIAR",9-10,800222,
gid://shopify/ProductVariant/52248399577393,900837,4 POCKET CUBAN SHIRT IN CHARCOAL GREY,3X - LARGE,900837,
gid://shopify/ProductVariant/49635057828145,934102,VAST TEE IN CHARCOAL GREY,EXTRA - SMALL,934102,
gid://shopify/ProductVariant/50713761186097,964102,EXO™ BOX LITE TEE IN OLIVE/ANTHRACITE,EXTRA - SMALL,964102,
gid://shopify/ProductVariant/50713761218865,964103,EXO™ BOX LITE TEE IN OLIVE/ANTHRACITE,SMALL,964103,
gid://shopify/ProductVariant/50713761251633,964104,EXO™ BOX LITE TEE IN OLIVE/ANTHRACITE,MEDIUM,964104,
gid://shopify/ProductVariant/50713761284401,964105,EXO™ BOX LITE TEE IN OLIVE/ANTHRACITE,LARGE,964105,
gid://shopify/ProductVariant/50713761317169,964106,EXO™ BOX LITE TEE IN OLIVE/ANTHRACITE,EXTRA - LARGE,964106,
gid://shopify/ProductVariant/50713761349937,964107,EXO™ BOX LITE TEE IN OLIVE/ANTHRACITE,2X - LARGE,964107,
gid://shopify/ProductVariant/50713761382705,964108,EXO™ BOX LITE TEE IN OLIVE/ANTHRACITE,3X - LARGE,964108,
gid://shopify/ProductVariant/50713761415473,964109,EXO™ BOX LITE TEE IN OLIVE/ANTHRACITE,4X - LARGE,964109,
gid://shopify/ProductVariant/51589171446065,969602,M+ CLASSIC POCKET LITE TEE,GLACIER / EXTRA - SMALL,969602,
gid://shopify/ProductVariant/51589171577137,969603,M+ CLASSIC POCKET LITE TEE,GLACIER / SMALL,969603,
gid://shopify/ProductVariant/51589171544369,969604,M+ CLASSIC POCKET LITE TEE,GLACIER / MEDIUM,969604,
gid://shopify/ProductVariant/51589171511601,969605,M+ CLASSIC POCKET LITE TEE,GLACIER / LARGE,969605,
gid://shopify/ProductVariant/51589171478833,969606,M+ CLASSIC POCKET LITE TEE,GLACIER / EXTRA-LARGE,969606,
